Total of 187 directories 
     key    d_min   signal pred_signal
2etd/w3/  3.00  25.860  15.300 
2etd/w3/  3.50  22.340  13.300 
2etd/w3/  4.00  20.420  11.100 
2etd/w3/  4.50  16.760   9.400 
2etd/w3/  5.00  15.300   8.100 
2etd/w3/  5.50  12.740   7.000 
2etd/w3/  6.00  10.730   6.200 
2etj/w1/  1.74  21.670  17.800 
2etj/w1/  2.00  22.090  17.700 
2etj/w1/  2.50  19.090  15.400 
2etj/w1/  3.00  15.260  12.800 
2etj/w1/  3.50  12.050  10.500 
2etj/w1/  4.00  10.750   8.700 
2etj/w1/  4.50   9.340   7.300 
2etj/w1/  5.00   8.500   6.200 
2etj/w1/  5.50   7.480   5.400 
2etj/w1/  6.00   6.390   4.800 
2etj/w2/  1.74   3.410   3.200 
2etj/w2/  2.00   3.880   3.500 
2etj/w2/  2.50   4.610   3.400 
2etj/w2/  3.00   4.570   3.100 
2etj/w2/  3.50   3.760   2.600 
2etj/w2/  4.00   3.340   2.200 
2etj/w2/  4.50   3.200   1.800 
2etj/w2/  5.00   3.420   1.500 
2etj/w2/  5.50   3.030   1.300 
2etj/w2/  6.00   2.630   1.200 
2ets/w1/  2.25  16.850  12.500 
2ets/w1/  3.00  16.290  11.900 
2ets/w1/  3.50  13.740  10.200 
2ets/w1/  4.00  12.170   8.500 
2ets/w1/  4.50  10.110   7.200 
2ets/w1/  5.00   8.830   6.100 
2ets/w1/  5.50   7.890   5.300 
2ets/w1/  6.00   6.880   4.700 
2etv/w1/  1.70  20.440  16.700 
2etv/w1/  2.00  22.880  17.700 
2etv/w1/  2.50  24.010  16.800 
2etv/w1/  3.00  21.220  14.800 
2etv/w1/  3.50  17.640  12.800 
2etv/w1/  4.00  16.500  10.700 
2etv/w1/  4.50  13.780   9.000 
2etv/w1/  5.00  12.420   7.600 
2etv/w1/  5.50  10.530   6.600 
2etv/w1/  6.00   9.540   5.800 
2etv/w2/  1.70  25.620  20.100 
2etv/w2/  2.00  29.310  21.300 
2etv/w2/  2.50  30.310  20.000 
2etv/w2/  3.00  27.130  17.600 
2etv/w2/  3.50  22.460  15.100 
2etv/w2/  4.00  20.450  12.700 
2etv/w2/  4.50  17.100  10.600 
2etv/w2/  5.00  15.170   9.000 
2etv/w2/  5.50  12.680   7.800 
2etv/w2/  6.00  11.730   6.900 
2evr/w1/  1.60   5.380   3.800 
2evr/w1/  2.00   6.280   4.100 
2evr/w1/  2.50   6.360   3.700 
2evr/w1/  3.00   4.940   3.100 
2evr/w1/  3.50   4.640   2.500 
2evr/w1/  4.00   4.570   2.000 
2evr/w1/  4.50   4.230   1.700 
