Total of 228 directories 
     key    d_min fraction_found  Signal
2b8m/w2/  2.50   0.000   9.240 
2b8m/w2/  3.00   1.000   9.040 
2b8m/w2/  3.50   1.000   8.380 
2b8m/w2/  4.00   1.000   7.880 
2b8m/w2/  4.50   0.250   6.920 
2b8m/w2/  5.00   0.250   5.830 
2b8m/w2/  5.50   0.000   5.200 
2b8m/w2/  6.00   0.000   4.690 
2b8m/w3/  1.80   0.000   1.650 
2b8m/w3/  2.00   0.250   1.880 
2b8m/w3/  2.50   0.000   2.400 
2b8m/w3/  3.00   0.250   2.180 
2b8m/w3/  3.50   0.000   2.540 
2b8m/w3/  4.00   0.000   2.670 
2b8m/w3/  4.50   0.000   2.430 
2b8m/w3/  5.00   0.000   2.130 
2b8m/w3/  5.50   0.000   2.290 
2b8m/w3/  6.00   0.000   2.200 
2etd/w1/  2.28   0.000   4.470 
2etd/w1/  3.00   0.000   4.810 
2etd/w1/  3.50   0.000   4.740 
2etd/w1/  4.00   0.000   4.630 
2etd/w1/  4.50   0.000   3.790 
2etd/w1/  5.00   0.000   3.510 
2etd/w1/  5.50   0.000   2.570 
2etd/w1/  6.00   0.000   1.660 
2etd/w2/  2.28   0.000  24.470 
2etd/w2/  3.00   1.000  21.920 
2etd/w2/  3.50   1.000  19.330 
2etd/w2/  4.00   1.000  17.810 
2etd/w2/  4.50   1.000  15.200 
2etd/w2/  5.00   1.000  13.830 
2etd/w2/  5.50   1.000  11.800 
2etd/w2/  6.00   1.000   9.620 
2etd/w3/  2.29   1.000  28.940 
2etd/w3/  3.00   1.000  25.860 
2etd/w3/  3.50   1.000  22.340 
2etd/w3/  4.00   1.000  20.420 
2etd/w3/  4.50   1.000  16.760 
2etd/w3/  5.00   1.000  15.300 
2etd/w3/  5.50   1.000  12.740 
2etd/w3/  6.00   1.000  10.730 
2etj/w1/  1.74   1.000  21.670 
2etj/w1/  2.00   1.000  22.090 
2etj/w1/  2.50   1.000  19.090 
2etj/w1/  3.00   1.000  15.260 
2etj/w1/  3.50   1.000  12.050 
2etj/w1/  4.00   1.000  10.750 
2etj/w1/  4.50   1.000   9.340 
2etj/w1/  5.00   1.000   8.500 
2etj/w1/  5.50   1.000   7.480 
2etj/w1/  6.00   1.000   6.390 
2etj/w2/  1.74   0.250   3.410 
2etj/w2/  2.00   0.250   3.880 
2etj/w2/  2.50   0.250   4.610 
2etj/w2/  3.00   0.250   4.570 
