GET ATOMIC IMAGES OF A CHOSEN RESOLUTION

input file of scattering factors :
    MX_wk1995_6.SF
truncation radius          11.0000
distance grid step          0.0010
resolution cut-off          1.0000
resolution grid number   2000
temperature factor          0.0000
number of atomic types      7
following atomic types are chosen :
    C    N    O    P    S    Fe   Au  

scattering factors file. First line:
following wk1995.cpp from Phenix

table of scattering factors contains data for  213  atomic types
    6 -Gaussian approximation is used
identified positions in the table
    7    8    9   16   17   27   80

     N     dist       C              N              O              P              S              Fe             Au             
   136     0.1360        8.76094365    10.84831457    13.48583014    31.17732571    32.77503509    57.74071880   213.58028361
   137     0.1370        8.75250547    10.83803585    13.47305603    31.14535272    32.74156590    57.68257200   213.35798868
   138     0.1380        8.74401176    10.82768940    13.46019770    31.11316991    32.70787705    57.62404304   213.13423556
   139     0.1390        8.73546266    10.81727538    13.44725536    31.08077780    32.67396908    57.56513285   212.90902789
   140     0.1400        8.72685831    10.80679395    13.43422920    31.04817692    32.63984254    57.50584238   212.68236931
   141     0.1410        8.71819884    10.79624528    13.42111943    31.01536778    32.60549798    57.44617256   212.45426349
   142     0.1420        8.70948439    10.78562952    13.40792625    30.98235091    32.57093596    57.38612435   212.22471414
   143     0.1430        8.70071509    10.77494685    13.39464987    30.94912686    32.53615702    57.32569870   211.99372497
   144     0.1440        8.69189108    10.76419743    13.38129048    30.91569616    32.50116173    57.26489658   211.76129971
   145     0.1450        8.68301250    10.75338142    13.36784831    30.88205933    32.46595066    57.20371896   211.52744213
   146     0.1460        8.67407950    10.74249900    13.35432355    30.84821694    32.43052437    57.14216680   211.29215601
   147     0.1470        8.66509221    10.73155034    13.34071641    30.81416952    32.39488343    57.08024109   211.05544516
   148     0.1480        8.65605077    10.72053560    13.32702711    30.77991762    32.35902842    57.01794281   210.81731341
   149     0.1490        8.64695532    10.70945495    13.31325586    30.74546179    32.32295992    56.95527296   210.57776461
   150     0.1500        8.63780602    10.69830858    13.29940287    30.71080259    32.28667850    56.89223253   210.33680263
   151     0.1510        8.62860299    10.68709664    13.28546835    30.67594058    32.25018474    56.82882252   210.09443136
   152     0.1520        8.61934640    10.67581932    13.27145253    30.64087632    32.21347924    56.76504394   209.85065472
   153     0.1530        8.61003638    10.66447680    13.25735561    30.60561037    32.17656258    56.70089780   209.60547664
